canonical_person_id,name,dataset_count,independent_source_family_count,datasets,source_families,evidence_types,source_locators
dan-adamson,Dan Adamson,6,5,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members; overture_15_negative_votes_2022; overture_37_negative_votes_2021; warhurst_protest_2019,a_faithful_pca; national_partnership; overture_15_2022; overture_37_2021; warhurst_protest_2019,formal_organization_membership; formal_protest_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:131; a_faithful_pca_2022-03-14::signature:150; national_partnership_confirmed_members::confirmed_member:30:dan adamson; overture_15_negative_votes_2022::print_order:2; overture_37_negative_votes_2021::print_order:1; warhurst_protest_2019::print_order:138
doug-serven,Doug Serven,6,5,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022; overture_15_negative_votes_2022; overture_37_negative_votes_2021; warhurst_protest_2019,a_faithful_pca; nae_withdrawal_protest_2022; overture_15_2022; overture_37_2021; warhurst_protest_2019,formal_protest_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:126; a_faithful_pca_2022-03-14::signature:145; nae_withdrawal_protest_2022::print_order:158; overture_15_negative_votes_2022::print_order:157; overture_37_negative_votes_2021::print_order:173; warhurst_protest_2019::print_order:1
jeff-suhr,Jeff Suhr,6,5,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022; overture_15_negative_votes_2022; overture_37_negative_votes_2021; warhurst_protest_2019,a_faithful_pca; nae_withdrawal_protest_2022; overture_15_2022; overture_37_2021; warhurst_protest_2019,formal_protest_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:356; a_faithful_pca_2022-03-14::signature:371; nae_withdrawal_protest_2022::print_order:169; overture_15_negative_votes_2022::print_order:174; overture_37_negative_votes_2021::print_order:180; warhurst_protest_2019::print_order:42
jeremy-fair,Jeremy Fair,6,5,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022; overture_15_negative_votes_2022; overture_37_negative_votes_2021; warhurst_protest_2019,a_faithful_pca; nae_withdrawal_protest_2022; overture_15_2022; overture_37_2021; warhurst_protest_2019,formal_protest_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:238; a_faithful_pca_2022-03-14::signature:256; nae_withdrawal_protest_2022::print_order:47; overture_15_negative_votes_2022::print_order:50; overture_37_negative_votes_2021::print_order:60; warhurst_protest_2019::print_order:155
mike-khandjian,Mike Khandjian,6,5,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members; overture_15_negative_votes_2022; overture_37_negative_votes_2021; publication_heal-us-emmanuel-2016,a_faithful_pca; national_partnership; overture_15_2022; overture_37_2021; publication_heal-us-emmanuel-2016,formal_organization_membership; public_letter_signature; publication_contribution; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:110; a_faithful_pca_2022-03-14::signature:129; national_partnership_confirmed_members::confirmed_member:105:mike khandjian; overture_15_negative_votes_2022::print_order:87; overture_37_negative_votes_2021::print_order:105; publication_heal-us-emmanuel-2016::chapter:25:contributor:1
russ-ramsey,Russ Ramsey,6,5,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022; overture_15_negative_votes_2022; overture_37_negative_votes_2021; warhurst_protest_2019,a_faithful_pca; nae_withdrawal_protest_2022; overture_15_2022; overture_37_2021; warhurst_protest_2019,formal_protest_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:375; a_faithful_pca_2022-03-14::signature:386; nae_withdrawal_protest_2022::print_order:137; overture_15_negative_votes_2022::print_order:142; overture_37_negative_votes_2021::print_order:152; warhurst_protest_2019::print_order:152
travis-scott,Travis Scott,6,5,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022; overture_15_negative_votes_2022; overture_37_negative_votes_2021; warhurst_protest_2019,a_faithful_pca; nae_withdrawal_protest_2022; overture_15_2022; overture_37_2021; warhurst_protest_2019,formal_protest_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:129; a_faithful_pca_2022-03-14::signature:148; nae_withdrawal_protest_2022::print_order:157; overture_15_negative_votes_2022::print_order:156; overture_37_negative_votes_2021::print_order:170; warhurst_protest_2019::print_order:169
trevor-laurence,Trevor Laurence,6,5,a_faithful_pca_2022-03-14; formal_role_overture_37; overture_15_negative_votes_2022; overture_37_minority_2021; overture_37_negative_votes_2021; warhurst_protest_2019,a_faithful_pca; laurence_o37_first_person_article; overture_15_2022; overture_37_2021; warhurst_protest_2019,first_person_authorship_and_presentation_statement; formal_protest_signature; minority_report_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2022-03-14::signature:665; formal_role_overture_37::role:1:principal_author_and_presenter; overture_15_negative_votes_2022::print_order:101; overture_37_minority_2021::print_order:14; overture_37_negative_votes_2021::print_order:112; warhurst_protest_2019::print_order:95
aaron-baker,Aaron Baker,5,4,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; formal_position_2009-overture-10-women-roles-study-minority-report; national_partnership_confirmed_members; warhurst_protest_2019,a_faithful_pca; ga_2009_formal_positions; national_partnership; warhurst_protest_2019,formal_organization_membership; formal_protest_signature; formal_report_concurrence; public_letter_signature,a_faithful_pca_2021-06-11::signature:220; a_faithful_pca_2022-03-14::signature:238; formal_position_2009-overture-10-women-roles-study-minority-report::2009-overture-10-women-roles-study-minority-report:signer:27; national_partnership_confirmed_members::confirmed_member:1:aaron baker; warhurst_protest_2019::print_order:177
alexander-jun,Alexander Jun,5,4,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; publication_heal-us-emmanuel-2016; publication_hear-us-emmanuel-2020; warhurst_protest_2019,a_faithful_pca; publication_heal-us-emmanuel-2016; publication_hear-us-emmanuel-2020; warhurst_protest_2019,formal_protest_signature; public_letter_signature; publication_contribution,a_faithful_pca_2021-06-11::signature:4; a_faithful_pca_2022-03-14::signature:4; publication_heal-us-emmanuel-2016::chapter:3:contributor:1; publication_hear-us-emmanuel-2020::chapter:25:contributor:1; warhurst_protest_2019::print_order:25
andrew-augenstein,Andrew Augenstein,5,4,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022; overture_15_negative_votes_2022; overture_37_negative_votes_2021,a_faithful_pca; nae_withdrawal_protest_2022; overture_15_2022; overture_37_2021,formal_protest_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:473; a_faithful_pca_2022-03-14::signature:477; nae_withdrawal_protest_2022::print_order:6; overture_15_negative_votes_2022::print_order:6; overture_37_negative_votes_2021::print_order:7
andy-moehn,Andy Moehn,5,4,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members; overture_15_negative_votes_2022; warhurst_protest_2019,a_faithful_pca; national_partnership; overture_15_2022; warhurst_protest_2019,formal_organization_membership; formal_protest_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:50; a_faithful_pca_2022-03-14::signature:70; national_partnership_confirmed_members::confirmed_member:3:andy moehn; overture_15_negative_votes_2022::print_order:125; warhurst_protest_2019::print_order:26
austin-pfeiffer,Austin Pfeiffer,5,4,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members; overture_37_negative_votes_2021; warhurst_protest_2019,a_faithful_pca; national_partnership; overture_37_2021; warhurst_protest_2019,formal_organization_membership; formal_protest_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:101; a_faithful_pca_2022-03-14::signature:120; national_partnership_confirmed_members::confirmed_member:5:austin pfeiffer; overture_37_negative_votes_2021::print_order:144; warhurst_protest_2019::print_order:24
brian-lopiccolo,Brian LoPiccolo,5,3,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_37_minority_2021; overture_37_negative_votes_2021; warhurst_protest_2019,a_faithful_pca; overture_37_2021; warhurst_protest_2019,formal_protest_signature; minority_report_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:377; a_faithful_pca_2022-03-14::signature:387; overture_37_minority_2021::print_order:15; overture_37_negative_votes_2021::print_order:121; warhurst_protest_2019::print_order:47
cal-boroughs,Cal Boroughs,5,4,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; formal_position_2008-overture-9-deaconess-study-minority-report; formal_position_2009-overture-10-women-roles-study-minority-report; overture_37_minority_2021,a_faithful_pca; ga_2008_formal_positions; ga_2009_formal_positions; overture_37_2021,formal_report_concurrence; minority_report_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:25; a_faithful_pca_2022-03-14::signature:25; formal_position_2008-overture-9-deaconess-study-minority-report::2008-overture-9-deaconess-study-minority-report:signer:5; formal_position_2009-overture-10-women-roles-study-minority-report::2009-overture-10-women-roles-study-minority-report:signer:4; overture_37_minority_2021::print_order:2
chris-smith,Chris Smith,5,4,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022; overture_37_negative_votes_2021; warhurst_protest_2019,a_faithful_pca; overture_15_2022; overture_37_2021; warhurst_protest_2019,formal_protest_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:453; a_faithful_pca_2022-03-14::signature:460; overture_15_negative_votes_2022::print_order:166; overture_37_negative_votes_2021::print_order:178; warhurst_protest_2019::print_order:59
david-driskill,David Driskill,5,4,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022; overture_15_negative_votes_2022; overture_37_negative_votes_2021,a_faithful_pca; nae_withdrawal_protest_2022; overture_15_2022; overture_37_2021,formal_protest_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:460; a_faithful_pca_2022-03-14::signature:467; nae_withdrawal_protest_2022::print_order:41; overture_15_negative_votes_2022::print_order:43; overture_37_negative_votes_2021::print_order:54
duke-kwon,Duke Kwon,5,4,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022; publication_heal-us-emmanuel-2016; publication_hear-us-emmanuel-2020,a_faithful_pca; overture_15_2022; publication_heal-us-emmanuel-2016; publication_hear-us-emmanuel-2020,public_letter_signature; publication_contribution; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:173; a_faithful_pca_2022-03-14::signature:192; overture_15_negative_votes_2022::print_order:98; publication_heal-us-emmanuel-2016::chapter:24:contributor:1; publication_hear-us-emmanuel-2020::chapter:26:contributor:1
ethan-smith,Ethan Smith,5,4,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022; national_partnership_confirmed_members; warhurst_protest_2019,a_faithful_pca; nae_withdrawal_protest_2022; national_partnership; warhurst_protest_2019,formal_organization_membership; formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:128; a_faithful_pca_2022-03-14::signature:147; nae_withdrawal_protest_2022::print_order:160; national_partnership_confirmed_members::confirmed_member:56:ethan smith; warhurst_protest_2019::print_order:61
hansoo-jin,Hansoo Jin,5,4,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members; overture_15_negative_votes_2022; overture_37_negative_votes_2021,a_faithful_pca; national_partnership; overture_15_2022; overture_37_2021,formal_organization_membership; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:195; a_faithful_pca_2022-03-14::signature:214; national_partnership_confirmed_members::confirmed_member:64:hansoo jin; overture_15_negative_votes_2022::print_order:75; overture_37_negative_votes_2021::print_order:93
jason-bobo,Jason Bobo,5,4,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022; overture_15_negative_votes_2022; warhurst_protest_2019,a_faithful_pca; nae_withdrawal_protest_2022; overture_15_2022; warhurst_protest_2019,formal_protest_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:369; a_faithful_pca_2022-03-14::signature:381; nae_withdrawal_protest_2022::print_order:17; overture_15_negative_votes_2022::print_order:14; warhurst_protest_2019::print_order:136
jason-cornwell,Jason Cornwell,5,3,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; overture_15_negative_votes_2022; overture_37_minority_2021; overture_37_negative_votes_2021,a_faithful_pca; overture_15_2022; overture_37_2021,minority_report_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:139; a_faithful_pca_2022-03-14::signature:158; overture_15_negative_votes_2022::print_order:34; overture_37_minority_2021::print_order:6; overture_37_negative_votes_2021::print_order:43
joe-thompson,Joe Thompson,5,4,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022; overture_37_negative_votes_2021; warhurst_protest_2019,a_faithful_pca; nae_withdrawal_protest_2022; overture_37_2021; warhurst_protest_2019,formal_protest_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:179; a_faithful_pca_2022-03-14::signature:198; nae_withdrawal_protest_2022::print_order:178; overture_37_negative_votes_2021::print_order:188; warhurst_protest_2019::print_order:133
joel-st-clair,Joel St. Clair,5,4,amr_leadership_current; amr_website_media_2023_2026; amr_youtube_media_2023_2026; national_partnership_confirmed_members; publication_heal-us-emmanuel-2016,amr_leadership; amr_media; national_partnership; publication_heal-us-emmanuel-2016,formal_organization_leadership; formal_organization_membership; media_authorship_or_participation; media_participation; publication_contribution,amr_leadership_current::aff-stclair-amr-current; amr_website_media_2023_2026::item:102:contributor:2:https://a4mr.org/the-genesis-of-the-fellowship-gathering/; amr_website_media_2023_2026::item:108:contributor:1:https://a4mr.org/838-2/; amr_website_media_2023_2026::item:38:contributor:1:https://a4mr.org/taking-the-temperature-of-the-pca/; amr_website_media_2023_2026::item:51:contributor:2:https://a4mr.org/from-sunday-to-monday-why-connecting-vocation-and-discipleship-is-central-to-the-christian-life/; amr_website_media_2023_2026::item:57:contributor:2:https://a4mr.org/general-assembly-recap-the-good-the-adequate-and-the-ugly/; amr_website_media_2023_2026::item:61:contributor:1:https://a4mr.org/overtures-discussion-with-david-coffin-howie-donahoe-fred-greco-and-joel-st-clair-general-assembly-2025/; amr_website_media_2023_2026::item:67:contributor:1:https://a4mr.org/the-fellowship-gathering-2025-an-invitation-to-connect/; amr_youtube_media_2023_2026::video:D-SF45Bd62E:participant:4; amr_youtube_media_2023_2026::video:Y86FgB4lytc:participant:3; amr_youtube_media_2023_2026::video:Z_toUjmYEOc:participant:4; amr_youtube_media_2023_2026::video:bqt1SSgo-Yo:participant:4; amr_youtube_media_2023_2026::video:zYRv7vG5xKA:participant:2; national_partnership_confirmed_members::confirmed_member:80:joel st clair; publication_heal-us-emmanuel-2016::chapter:30:contributor:1
jonathan-winfree,Jonathan Winfree,5,4,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022; national_partnership_confirmed_members; warhurst_protest_2019,a_faithful_pca; nae_withdrawal_protest_2022; national_partnership; warhurst_protest_2019,formal_organization_membership; formal_protest_signature; public_letter_signature,a_faithful_pca_2021-06-11::signature:535; a_faithful_pca_2022-03-14::signature:530; nae_withdrawal_protest_2022::print_order:198; national_partnership_confirmed_members::confirmed_member:86:jonathan winfree; warhurst_protest_2019::print_order:111
keith-robinson,Keith Robinson,5,4,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022; overture_37_negative_votes_2021; warhurst_protest_2019,a_faithful_pca; nae_withdrawal_protest_2022; overture_37_2021; warhurst_protest_2019,formal_protest_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:190; a_faithful_pca_2022-03-14::signature:209; nae_withdrawal_protest_2022::print_order:141; overture_37_negative_votes_2021::print_order:161; warhurst_protest_2019::print_order:71
ken-kostrzewa,Ken Kostrzewa,5,4,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; nae_withdrawal_protest_2022; overture_15_negative_votes_2022; warhurst_protest_2019,a_faithful_pca; nae_withdrawal_protest_2022; overture_15_2022; warhurst_protest_2019,formal_protest_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:69; a_faithful_pca_2022-03-14::signature:89; nae_withdrawal_protest_2022::print_order:98; overture_15_negative_votes_2022::print_order:95; warhurst_protest_2019::print_order:8
kyle-hackmann,Kyle Hackmann,5,4,a_faithful_pca_2021-06-11; a_faithful_pca_2022-03-14; national_partnership_confirmed_members; overture_15_negative_votes_2022; warhurst_protest_2019,a_faithful_pca; national_partnership; overture_15_2022; warhurst_protest_2019,formal_organization_membership; formal_protest_signature; public_letter_signature; recorded_negative_vote,a_faithful_pca_2021-06-11::signature:70; a_faithful_pca_2022-03-14::signature:90; national_partnership_confirmed_members::confirmed_member:97:kyle hackmann; overture_15_negative_votes_2022::print_order:59; warhurst_protest_2019::print_order:129
